,species,mean_temp,se_temp,within_sp_var_temp,mean_prec,se_prec,within_sp_var_prec,mean_pet,se_pet,within_sp_var_pet,mean_aridity,se_aridity,within_sp_var_aridity,Fruit_type
150,Cliffortia_ruscifolia,5.660668,0.003635,3.00E-05,6.109759,0.191338,0.030768,7.561529,0.042994,0.006722,7.547586,0.175683,0.032675,Dry
151,Cliffortia_scandens,5.647388,NA,0.000182,6.308098,NA,0.184609,7.409136,NA,0.040334,8.180881,NA,0.196052,Dry
152,Cliffortia_sericea,5.651589,0.006673,9.10E-05,6.546191,0.277095,0.092305,7.463678,0.0473,0.020167,7.944609,0.239346,0.098026,Dry
153,Cliffortia_setifolia,5.644032,0.001239,9.10E-05,5.873789,0.047789,0.092305,7.390166,0.005556,0.020167,7.93249,0.109244,0.098026,Dry
154,Cliffortia_spathulata,5.642084,NA,0.000182,7.185387,NA,0.184609,7.256297,NA,0.040334,8.777864,NA,0.196052,Dry
155,Cliffortia_stricta,5.666,0.001458,2.60E-05,6.467858,0.086204,0.026373,7.360427,0.021062,0.005762,8.125159,0.090908,0.028007,Dry
156,Cliffortia_strigosa,5.653716,NA,0.000182,6.828712,NA,0.184609,7.486613,NA,0.040334,8.116716,NA,0.196052,Dry
157,Cliffortia_strobilifera,5.668616,0.00157,9.00E-06,6.411204,0.104249,0.008791,7.421866,0.026447,0.001921,8.130683,0.12272,0.009336,Dry
158,Cliffortia_subsetacea,5.671087,NA,0.000182,6.548219,NA,0.184609,7.418181,NA,0.040334,8.148156,NA,0.196052,Dry
159,Cliffortia_tenuis,5.671776,NA,0.000182,6.079933,NA,0.184609,7.312553,NA,0.040334,8.081166,NA,0.196052,Dry
160,Cliffortia_tricuspidata,5.642439,NA,0.000182,7.069874,NA,0.184609,7.382746,NA,0.040334,8.287025,NA,0.196052,Dry
161,Cliffortia_triloba,5.669018,NA,0.000182,6.047372,NA,0.184609,7.634337,NA,0.040334,7.252054,NA,0.196052,Dry
162,Cliffortia_uncinata,5.657913,NA,0.000182,6.171701,NA,0.184609,7.566311,NA,0.040334,7.466799,NA,0.196052,Dry
163,Cliffortia_varians,5.661397,NA,0.000182,6.045005,NA,0.184609,7.521859,NA,0.040334,7.834392,NA,0.196052,Dry
164,Cliffortia_virgata,5.664522,NA,0.000182,6.284134,NA,0.184609,7.502186,NA,0.040334,7.798933,NA,0.196052,Dry
165,Cliffortia_viridis,5.656516,NA,0.000182,7.090077,NA,0.184609,7.340836,NA,0.040334,8.564649,NA,0.196052,Dry
166,Cliffortia_weimarckii,5.636395,NA,0.000182,6.12905,NA,0.184609,7.365813,NA,0.040334,8.078378,NA,0.196052,Dry
167,Coleogyne_ramosissima,5.66151,0.00157,5.00E-06,5.360662,0.058559,0.00543,7.712214,0.023806,0.001186,6.990187,0.057342,0.005766,Fleshy
168,Comarum_palustre,5.61469,0.000707,0,6.344154,0.019871,0.000218,6.483919,0.009533,4.90E-05,9.106871,0.017849,0.000236,Dry
169,Cormus_domestica,5.653007,0.001093,2.00E-06,6.525814,0.035545,0.002279,7.102775,0.023329,0.000511,8.609207,0.051546,0.002482,Fleshy
170,Cotoneaster_acutifolius,5.645409,0.001614,2.00E-06,6.275782,0.043506,0.00181,7.100492,0.013692,0.000395,8.589635,0.043601,0.001922,Fleshy
171,Cotoneaster_adpressus,5.638089,0.002414,2.00E-06,6.280263,0.064712,0.002337,6.998643,0.022322,0.000511,8.772556,0.05199,0.002482,Fleshy
172,Cotoneaster_ambiguus,5.646026,0.003741,1.10E-05,6.381293,0.110113,0.011538,7.029112,0.024572,0.002521,8.808274,0.069038,0.012253,Fleshy
