Species,Fruit_type,Notes,Reference,,
Trochocarpa_gunnii,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Planocarpa_nitida,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Planocarpa_petiolaris,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Conostephium_preissii,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Conostephium_pendulum,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Astroloma_pinifolium,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Astroloma_conostephioides,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Astroloma_baxteri,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Styphelia_pancheri,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Brachyloma_daphnoides,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Brachyloma_saxicola,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Brachyloma_concolor,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Brachyloma_mogin,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Brachyloma_preissii,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Styphelia_cymbulae,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Brachyloma_scortechinii,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Melichrus_procumbens,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Melichrus_urceolatus,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Monotoca_aristata,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
Acrotriche_affinis,Fleshy,"""Fruit drupaceous, indehiscent, rarely splitting irregularly and transversely""",Watson (1967); Stevens (2004),TRIBE STYPHELIEAE,
