Species,Fruit_type,,
Monochaetum_discolor,Dry,,
Monochaetum_meridense,Dry,,
Monochaetum_humboldtianum,Dry,,
Monochaetum_lineatum,Dry,,
Monochaetum_uribei,Dry,,
Monochaetum_tenellum,Dry,,
Monochaetum_bonplandii,Dry,,
Monochaetum_floribundum,Dry,,
Monochaetum_vulcanicum,Dry,,
Tibouchina_lepidota,Dry,,
Tibouchina_gleasoniana,Dry,,
Tibouchina_inopinata,Dry,,
Tibouchina_wurdackii,Dry,,
Tibouchina_solmsii,Dry,,
Tibouchina_alpestris,Dry,,
Tibouchina_confertiflora,Dry,,
Tibouchina_citrina,Dry,,
Tibouchina_gayana,Dry,,
Tibouchina_naudiniana,Dry,,
Tibouchina_saxosa,Dry,,
Tibouchina_laxa,Dry,,
Tibouchina_pendula,Dry,,
Tibouchina_grossa,Dry,,
Tibouchina_mollis,Dry,,
Tibouchina_ciliaris,Dry,,
Tibouchina_cerastifolia,Dry,,
Tibouchina_clinopodifolia,Dry,,
Tibouchina_minor,Dry,,
Tibouchina_sebastianopolitana,Dry,,
Tibouchina_mariae,Dry,,
Tibouchina_pleromoides,Dry,,
Tibouchina_dimorphophylla,Dry,,
Tibouchina_decora,Dry,,
Brachyotum_rostratum,Dry,,
Tibouchina_brevisepala,Dry,,
Brachyotum_microdon,Dry,,
Tibouchina_calycina,Dry,,
Tibouchina_octopetala,Dry,,
Tibouchina_bicolor,Dry,,
Brachyotum_confertum,Dry,,
Brachyotum_lindenii,Dry,,
Brachyotum_ledifolium,Dry,,
Brachyotum_fictum,Dry,,
Brachyotum_incrassatum,Dry,,
Brachyotum_benthamianum,Dry,,
Brachyotum_fraternum,Dry,,
Brachyotum_harlingii,Dry,,
Tibouchina_breedlovei,Dry,,
Heterocentron_elegans,Dry,,
Heterocentron_subtriplinervium,Dry,,
Heterocentron_muricatum,Dry,,
Schwackaea_cupheoides,Dry,,
Pilocosta_campanensis,Dry,,
Pilocosta_oerstedii,Dry,,
Pilocosta_nubicola,Dry,,
Pilocosta_nana,Dry,,
Centradenia_grandifolia,Dry,,
Centradenia_floribunda,Dry,,
Centradenia_inaequilateralis,Dry,,
Pleroma_penduliflora,Dry,,
Tibouchina_longifolia,Dry,,
Tibouchina_geitneriana,Dry,,
Tibouchina_weberbaueri,Dry,,
Tibouchina_gracilis,Dry,,
Tibouchina_hieracioides,Dry,,
Tibouchina_chamaecistus,Dry,,
Tibouchina_ornata,Dry,,
Tibouchina_melanocalyx,Dry,,
Pleroma_trinervia,Dry,,
Tibouchina_oreophila,Dry,,
Tibouchinopsis_mirabilis,Dry,,
Tibouchina_blanchetiana,Dry,,
Tibouchina_pereirae,Dry,,
Tibouchina_velutina,Dry,,
Tibouchina_urceolaris,Dry,,
Tibouchina_clavata,Dry,,
Tibouchina_cryptadena,Dry,,
Tibouchina_radula,Dry,,
Tibouchina_heteromalla,Dry,,
Tibouchina_clidemioides,Dry,,
Tibouchina_manicata,Dry,,
Tibouchina_trichopoda,Dry,,
Tibouchina_barnebyana,Dry,,
Tibouchina_arborea,Dry,,
Tibouchina_candolleana,Dry,,
Tibouchina_itatiaiae,Dry,,
Tibouchina_estrellensis,Dry,,
Tibouchina_boudetii,Dry,,
Tibouchina_granulosa,Dry,,
Tibouchina_salviaefolia,Dry,,
Tibouchina_fissinervia,Dry,,
Tibouchina_martialis,Dry,,
Tibouchina_stenocarpa,Dry,,
Tibouchina_laevicaulis,Dry,,
Tibouchina_cardinalis,Dry,,
Tibouchina_arenaria,Dry,,
Tibouchina_martiusiana,Dry,,
Tibouchina_angustifolia,Dry,,
Tibouchina_frigidula,Dry,,
Itatiaia_cleistopetala,Dry,,
Tibouchina_microphylla,Dry,,
Tibouchina_cinerea,Dry,,
Tibouchina_hospita,Dry,,
Tibouchina_macrochiton,Dry,,
Tibouchina_corymbosa,Dry,,
Tibouchina_benthamiana,Dry,,
Tibouchina_castellensis,Dry,,
Tibouchina_cristata,Dry,,
Tibouchina_axillaris,Dry,,
Svitramia_wurdackiana,Dry,,
Svitramia_minor,Dry,,
Svitramia_pulchra,Dry,,
Svitramia_hatschbachii,Dry,,
Tibouchina_nodosa,Dry,,
Pleroma_oleifolia,Dry,,
Tibouchina_ursina,Dry,,
Tibouchina_dubia,Dry,,
Tibouchina_ramboi,Dry,,
Tibouchina_kleinii,Dry,,
Tibouchina_gardneriana,Dry,,
Tibouchina_fothergillae,Dry,,
Tibouchina_semidecandra,Dry,,
Tibouchina_collina,Dry,,
Tibouchina_foveolata,Dry,,
Tibouchina_sellowiana,Dry,,
Tibouchina_mutabilis,Dry,,
Tibouchina_pulchra,Dry,,
Macrocentrum_minus,Dry,,
Macrocentrum_vestitum,Dry,,
Macrocentrum_droseroides,Dry,,
Macrocentrum_anfractum,Dry,,
Macrocentrum_gesneriaceum,Dry,,
Maguireanthus_ayangannae,Dry,,
Macrocentrum_cristatum,Dry,,
Macrocentrum_fasciculatum,Dry,,
Salpinga_maranonensis,Dry,,
Salpinga_secunda,Dry,,
Meriania_compressicaulis,Dry,,
Meriania_robusta,Dry,,
Meriania_calyptrata,Dry,,
Meriania_tomentosa,Dry,,
Meriania_acostae,Dry,,
Meriania_phlomoides,Dry,,
Meriania_arborea,Dry,,
Meriania_longifolia,Dry,,
Meriania_purpurea,Dry,,
Meriania_leucantha,Dry,,
Meriania_ekmanii,Dry,,
Meriania_parvifolia,Dry,,
Meriania_squamulosa,Dry,,
Meriania_brevipedunculata,Dry,,
Meriania_haemantha,Dry,,
Meriania_hexamera,Dry,,
Meriania_franciscana,Dry,,
Meriania_macrophylla,Dry,,
Axinaea_affinis,Dry,,
Meriania_hernandoi,Dry,,
Axinaea_alata,Dry,,
Axinaea_sclerophylla,Dry,,
Axinaea_costaricensis,Dry,,
Axinaea_floribunda,Dry,,
Axinaea_grandifolia,Dry,,
Axinaea_macrophylla,Dry,,
Macrocentrum_repens,Dry,,
Macrocentrum_neblinae,Dry,,
Meriania_urceolata,Dry,,
Meriania_sclerophylla,Dry,,
Meriania_calophylla,Dry,,
Meriania_subumbellata,Dry,,
Adelobotrys_barbata,Dry,,
Adelobotrys_adscendens,Dry,,
Adelobotrys_permixta,Dry,,
Adelobotrys_spruceana,Dry,,
Adelobotrys_tessmannii,Dry,,
Adelobotrys_boissieriana,Dry,,
Adelobotrys_subsessilis,Dry,,
Adelobotrys_macrantha,Dry,,
Adelobotrys_scandens,Dry,,
Graffenrieda_gracilis,Dry,,
Graffenrieda_moritziana,Dry,,
Graffenrieda_hitchcockii,Dry,,
Graffenrieda_rotundifolia,Dry,,
Graffenrieda_intermedia,Dry,,
Adelobotrys_praetexta,Dry,,
Graffenrieda_moaensis,Dry,,
Graffenrieda_weddellii,Dry,,
Centronia_laurifolia,Dry,,
Graffenrieda_limbata,Dry,,
Graffenrieda_latifolia,Dry,,
Graffenrieda_sessilifolia,Dry,,
Graffenrieda_miconioides,Dry,,
Graffenrieda_tristis,Dry,,
Graffenrieda_micrantha,Dry,,
Graffenrieda_cucullata,Dry,,
Graffenrieda_galeottii,Dry,,
Graffenrieda_uribei,Dry,,
Graffenrieda_emarginata,Dry,,
Graffenrieda_harlingii,Dry,,
Eriocnema_fulva,Dry,,
Physeterostemon_thomasii,Dry,,
Physeterostemon_fiaschii,Dry,,
Physeterostemon_jardimii,Dry,,
Spathandra_blakeoides,Fleshy,,
Votomita_guianensis,Fleshy,,
Mouriri_crassifolia,Fleshy,,
Mouriri_dumetosa,Fleshy,,
Mouriri_collocarpa,Fleshy,,
Mouriri_sagotiana,Fleshy,,
Mouriri_gleasoniana,Fleshy,,
Mouriri_helleri,Fleshy,,
Mouriri_guianensis,Fleshy,,
Mouriri_cyphocarpa,Fleshy,,
Mouriri_myrtilloides,Fleshy,,
Lijndenia_barteri,Fleshy,,
Lijndenia_procteri,Fleshy,,
Lijndenia_brenanii,Fleshy,,
Memecylon_megacarpum,Fleshy,,
Lijndenia_laurina,Fleshy,,
Lijndenia_danguyana,Fleshy,,
Lijndenia_roborea,Fleshy,,
Warneckea_sansibarica,Fleshy,,
Warneckea_melindensis,Fleshy,,
Warneckea_jasminoides,Fleshy,,
Warneckea_wildeana,Fleshy,,
Warneckea_sapinii,Fleshy,,
Warneckea_pulcherrima,Fleshy,,
Warneckea_austro,Fleshy,,
Warneckea_yangambensis,Fleshy,,
Warneckea_fosteri,Fleshy,,
Warneckea_membranifolia,Fleshy,,
Warneckea_cinnamomoides,Fleshy,,
Warneckea_fascicularis,Fleshy,,
Warneckea_mangrovensis,Fleshy,,
Warneckea_madagascariensis,Fleshy,,
Warneckea_masoalae,Fleshy,,
Warneckea_hedbergiorum,Fleshy,,
Warneckea_amaniensis,Fleshy,,
Warneckea_erubescens,Fleshy,,
Warneckea_schliebenii,Fleshy,,
Warneckea_parvifolia,Fleshy,,
Warneckea_mouririifolia,Fleshy,,
Warneckea_sousae,Fleshy,,
Memecylon_lateriflorum,Fleshy,,
Memecylon_occultum,Fleshy,,
Memecylon_magnifoliatum,Fleshy,,
Mouriri_nervosa,Fleshy,,
Memecylon_elaeagni,Fleshy,,
Memecylon_rivulare,Fleshy,,
Memecylon_rostratum,Fleshy,,
Memecylon_semseii,Fleshy,,
Memecylon_erythranthum,Fleshy,,
Memecylon_cogniauxii,Fleshy,,
Memecylon_deminutum,Fleshy,,
Memecylon_greenwayi,Fleshy,,
Memecylon_teitense,Fleshy,,
Memecylon_buxoides,Fleshy,,
Memecylon_fragrans,Fleshy,,
Memecylon_verruculosum,Fleshy,,
Memecylon_bachmannii,Fleshy,,
Memecylon_buxifolium,Fleshy,,
Memecylon_natalense,Fleshy,,
Memecylon_torrei,Fleshy,,
Memecylon_peracuminatum,Fleshy,,
Memecylon_capuronii,Fleshy,,
Memecylon_thouarsianum,Fleshy,,
Memecylon_perditum,Fleshy,,
Memecylon_impressivenum,Fleshy,,
Memecylon_strumosum,Fleshy,,
Memecylon_louvelianum,Fleshy,,
Memecylon_ulopterum,Fleshy,,
Memecylon_ovatifolium,Fleshy,,
Memecylon_confusum,Fleshy,,
Memecylon_longipetalum,Fleshy,,
Memecylon_albescens,Fleshy,,
Memecylon_infuscatum,Fleshy,,
Memecylon_sejunctum,Fleshy,,
Memecylon_mocquerysii,Fleshy,,
Memecylon_interjectum,Fleshy,,
Memecylon_corymbiforme,Fleshy,,
Memecylon_xiphophyllum,Fleshy,,
Memecylon_bakerianum,Fleshy,,
Memecylon_boinense,Fleshy,,
Memecylon_mayottense,Fleshy,,
Memecylon_pterocladum,Fleshy,,
Memecylon_clavistaminum,Fleshy,,
Memecylon_eduliforme,Fleshy,,
Memecylon_sitanum,Fleshy,,
Memecylon_amshoffiae,Fleshy,,
Memecylon_batekeanum,Fleshy,,
Memecylon_afzelii,Fleshy,,
Memecylon_flavovirens,Fleshy,,
