"","species","temp","se_temp","within_sp_var_temp","prec","se_prec","within_sp_var_prec","mean_pet","se_pet","within_sp_var_pet","mean_aridity","se_aridity","within_sp_var_aridity","Dispersal_mode"
"889","Pachyanthus_discolor",5.700109,0.000168,3.9e-05,7.288508,0.186832,0.053203,7.539917,0.018599,0.006156,8.962172,0.230513,0.058634,"Biotic"
"890","Pachyanthus_mantuensis",5.697597,NA,7.7e-05,7.278629,NA,0.106405,7.461066,NA,0.012312,8.99094,NA,0.117268,"Biotic"
"891","Pachyanthus_mayarensis",5.698937,NA,7.7e-05,7.34601,NA,0.106405,7.509335,NA,0.012312,9.091895,NA,0.117268,"Biotic"
"892","Pachyanthus_poiretii",5.693387,0.00421,3.9e-05,7.347628,0.094865,0.053203,7.383989,NA,0.012312,9.189015,NA,0.117268,"Biotic"
"893","Pachyanthus_tetramerus",5.694237,NA,7.7e-05,7.350516,NA,0.106405,7.354362,NA,0.012312,9.256269,NA,0.117268,"Biotic"
"894","Pachyanthus_wrightii",5.697597,NA,7.7e-05,7.196687,NA,0.106405,7.446001,NA,0.012312,9.023167,NA,0.117268,"Biotic"
"895","Pachycentria_constricta",5.694677,0.002414,5e-06,7.864488,0.060718,0.00665,7.276729,0.022644,0.00077,9.8063,0.059011,0.007329,"Biotic"
"896","Pachyloma_huberioides",5.701756,0.001601,4e-06,7.902466,0.038799,0.00532,7.246809,0.016113,0.000616,9.880222,0.043047,0.005863,"Abiotic"
"897","Phainantha_shuariorum",5.687143,0.001477,2.6e-05,7.805846,0.040981,0.035468,7.18909,0.036601,0.004104,9.478454,0.122335,0.039089,"Abiotic"
"898","Phyllagathis_gymnantha",5.692384,0.002552,6e-06,8.001731,0.066679,0.008185,7.257516,0.016622,0.000947,9.995696,0.06819,0.009021,"Abiotic"
"899","Phyllagathis_oligotricha",5.680684,NA,7.7e-05,7.361375,NA,0.106405,7.129298,NA,0.012312,9.454227,NA,0.117268,"Abiotic"
