Species,Fruit_type,Fruit_type_and_notes,Notes,References
Chilocarpus_suaveolens,Fleshy,,"Seeds globular-ovoid, with a corky aril on the funicle",Endress et al. (2018)
Chloropetalum_denticulatum,Dry,Follicles,,Endress et al. (2018)
Chonemorpha_fragrans,Dry,Follicle,,Endress et al. (2018)
Cibirhiza_albersiana,Dry,Follicles,,Endress et al. (2018)
Cibirhiza_dhofarensis,Dry,Follicles,,Endress et al. (2018)
Cleghornia_malaccensis,Dry,Follicle,Coma present.,Endress et al. (2018)
Condylocarpon_isthmicum,Fleshy,Drupe,,Endress et al. (2018)
Cordylogyne_globosa,Dry,Follicle,"Follicles fusiform or obclavate, often paired. Seeds ovate, winged, usually with white apical coma.",Endress et al. (2018)
Couma_guianensis,Fleshy,"Glabrous, many-seeded berries with seeds embedded in pulpy placentas",,Endress et al. (2018)
Craspidospermum_verticillatum,Dry,Follicles,,Endress et al. (2018)
Crioceras_dipladeniiflorum,Fleshy,,"Aril thin, white.",Endress et al. (2018)
Cryptolepis_buchananii,Dry,Follicles,,Endress et al. (2018)
Cryptolepis_capensis,Dry,Follicles,,Endress et al. (2018)
Cryptolepis_oblongifolia,Dry,Follicles,,Endress et al. (2018)
Cryptolepis_sinensis,Dry,Follicles,,Endress et al. (2018)
Cryptostegia_grandiflora,Dry,Follicles,,Endress et al. (2018)
Cryptostegia_madagascariensis,Dry,Follicles,,Endress et al. (2018)
Cycladenia_humilis,Dry,Follicles,with coma,Endress et al. (2018)
Cynanchum_abyssinicum,Dry,Follicles,,Endress et al. (2018)
Cynanchum_acutum,Dry,Follicles,,Endress et al. (2018)
Cynanchum_africanum,Dry,Follicles,,Endress et al. (2018)
Cynanchum_altiscandens,Dry,Follicles,,Endress et al. (2018)
Cynanchum_ampanihense,Dry,Follicles,,Endress et al. (2018)
Cynanchum_angavokeliense,Dry,Follicles,,Endress et al. (2018)
Cynanchum_appendiculatopsis,Dry,Follicles,,Endress et al. (2018)
Cynanchum_arenarium,Dry,Follicles,,Endress et al. (2018)
Cynanchum_auriculatum,Dry,Follicles,,Endress et al. (2018)
Cynanchum_blandum,Dry,Follicles,,Endress et al. (2018)
Cynanchum_boudieri,Dry,Follicles,,Endress et al. (2018)
Cynanchum_comorense,Dry,Follicles,,Endress et al. (2018)
Cynanchum_crassiantherae,Dry,Follicles,,Endress et al. (2018)
Cynanchum_crassipedicellatum,Dry,Follicles,,Endress et al. (2018)
