"","Clade","ObsSt","Alpha","Sigma","Optim"
"Rubus_lambertianus","Rosaceae","Biotic",0.645188535195768,0.0895850922321828,7.07585699243227
"Rubus_caudifolius","Rosaceae","Biotic",0.645188003422399,0.0895795129445579,7.07589834456323
"Rubus_buergeri","Rosaceae","Biotic",0.645188492461031,0.0895855169872268,7.07585853276718
"Rubus_assamensis","Rosaceae","Biotic",0.645188512974984,0.089585766302052,7.07585688893614
"Rubus_parkeri","Rosaceae","Biotic",0.645188512974984,0.089585766302052,7.07585688893614
"Rubus_ichangensis","Rosaceae","Biotic",0.645188380034898,0.0895841484656116,7.0758676266034
"Rubus_tricolor","Rosaceae","Biotic",0.645188754673361,0.0895885510897384,7.07583746609118
"Rubus_faberi","Rosaceae","Biotic",0.645189053841097,0.0895920810503603,7.07581350976747
"Rubus_setchuenensis","Rosaceae","Biotic",0.645189053841097,0.0895920810503603,7.07581350976747
"Rubus_yiwuanus","Rosaceae","Biotic",0.645188699636806,0.0895879589538335,7.07584193547665
"Rubus_pirifolius","Rosaceae","Biotic",0.645188733275483,0.0895883633783203,7.07583924729994
"Rubus_tephrodes","Rosaceae","Biotic",0.645188733275483,0.0895883633783203,7.07583924729994
"Rubus_swinhoei","Rosaceae","Biotic",0.645188043763524,0.0895800154707078,7.07589501821274
"Rubus_treutleri","Rosaceae","Biotic",0.64518793393337,0.089578602372896,7.07590413555783
"Rubus_pinnatisepalus","Rosaceae","Biotic",0.64518793393337,0.089578602372896,7.07590413555783
"Rubus_pentagonus","Rosaceae","Biotic",0.645187869621108,0.0895756972822106,7.0759122774664
"Rubus_phengodes","Rosaceae","Biotic",0.645187869621108,0.0895756972822106,7.0759122774664
"Rubus_fockeanus","Rosaceae","Biotic",0.645187962200281,0.0895768081603574,7.07590486492151
"Rubus_pectinarioides","Rosaceae","Biotic",0.645187962200281,0.0895768081603574,7.07590486492151
"Rubus_calycinus","Rosaceae","Biotic",0.64518649115684,0.0895578495906977,7.07602534748973
"Rubus_sengorensis","Rosaceae","Biotic",0.645187854625931,0.0895747439850882,7.07591480608007
"Rubus_thomsonii","Rosaceae","Biotic",0.645187854625931,0.0895747439850882,7.07591480608007
"Rubus_hawaiensis","Rosaceae","Biotic",0.645188111894568,0.0895777287546127,7.07589431813252
"Rubus_spectabilis","Rosaceae","Biotic",0.645188111894568,0.0895777287546127,7.07589431813252
"Rubus_repens","Rosaceae","Biotic",0.645183837247812,0.0894829139017209,7.07627925776128
"Rubus_chamaemorus","Rosaceae","Biotic",0.645185022977685,0.0894986786591513,7.07618032694927
"Rubus_lasiococcus","Rosaceae","Biotic",0.645185644693571,0.0895067144493537,7.07612972306688
"Rubus_pedatus","Rosaceae","Biotic",0.645185644693571,0.0895067144493537,7.07612972306688
"Rubus_odoratus","Rosaceae","Biotic",0.645187597639662,0.0895298869641667,7.0759707644232
"Rubus_parviflorus","Rosaceae","Biotic",0.645187597639662,0.0895298869641667,7.0759707644232
"Rubus_deliciosus","Rosaceae","Biotic",0.645188179849506,0.0895368842486116,7.07592218100578
"Rubus_neomexicanus","Rosaceae","Biotic",0.645188237136712,0.0895375606384705,7.07591761589206
"Rubus_trilobus","Rosaceae","Biotic",0.645188237136712,0.0895375606384705,7.07591761589206
"Dryas_drummondii","Rosaceae","Abiotic",0.645226428972898,0.143956469716852,7.02494230785207
"Dryas_octopetala","Rosaceae","Abiotic",0.645226428972898,0.143956469716852,7.02494230785207
"Cercocarpus_montanus","Rosaceae","Abiotic",0.645226856591915,0.143976032299206,7.02428494272351
"Cercocarpus_betuloides","Rosaceae","Abiotic",0.645226856591915,0.143976032299206,7.02428494272351
"Chamaebatia_foliolosa","Rosaceae","Abiotic",0.645225781901398,0.143926262093396,7.02596620671099
