"","Clade","ObsSt","Alpha","Sigma","Optim"
"Centronia_laurifolia","Melastomataceae","Abiotic",0.181988095569691,5.52188799131889e-05,5.68198153707877
"Graffenrieda_limbata","Melastomataceae","Abiotic",0.181988095569691,5.52188799131889e-05,5.68198153707877
"Graffenrieda_latifolia","Melastomataceae","Abiotic",0.181988095569691,5.52120506618128e-05,5.68198539195015
"Graffenrieda_sessilifolia","Melastomataceae","Abiotic",0.181988095569691,5.52120506618128e-05,5.68198539195015
"Graffenrieda_miconioides","Melastomataceae","Abiotic",0.181988095569691,5.52291790183237e-05,5.68197562952948
"Graffenrieda_tristis","Melastomataceae","Abiotic",0.181988095569691,5.52291790183237e-05,5.68197562952948
"Graffenrieda_micrantha","Melastomataceae","Abiotic",0.181988095569691,5.52346421725719e-05,5.68197253254547
"Graffenrieda_cucullata","Melastomataceae","Abiotic",0.181988095569691,5.52369837106778e-05,5.68197122641116
"Graffenrieda_galeottii","Melastomataceae","Abiotic",0.181988095569691,5.52369837106778e-05,5.68197122641116
"Graffenrieda_uribei","Melastomataceae","Abiotic",0.181988095569691,5.52390587655685e-05,5.68197002469605
"Graffenrieda_emarginata","Melastomataceae","Abiotic",0.181988095569691,5.52420871528278e-05,5.68196833055319
"Graffenrieda_harlingii","Melastomataceae","Abiotic",0.181988095569691,5.52420871528278e-05,5.68196833055319
"Eriocnema_fulva","Melastomataceae","Abiotic",0.181988095569691,5.46184285997473e-05,5.68238141392299
"Physeterostemon_thomasii","Melastomataceae","Abiotic",0.181988095569691,5.47118128109441e-05,5.68232189660867
"Physeterostemon_fiaschii","Melastomataceae","Abiotic",0.181988095569691,5.47191007305472e-05,5.68231749647597
"Physeterostemon_jardimii","Melastomataceae","Abiotic",0.181988095569691,5.47191007305472e-05,5.68231749647597
"Miconia_superba","Melastomataceae","Biotic",0.181988095569691,5.7946545957847e-05,5.69066013336831
"Miconia_mirabilis","Melastomataceae","Biotic",0.181988095569691,5.79600455154096e-05,5.69065671660675
"Miconia_dodecandra","Melastomataceae","Biotic",0.181988095569691,5.79600455154096e-05,5.69065671660675
"Ossaea_petiolaris","Melastomataceae","Biotic",0.181988095569691,5.83554270898421e-05,5.69057587556927
"Ossaea_capillaris","Melastomataceae","Biotic",0.181988095569691,5.83554270898421e-05,5.69057587556927
"Leandra_macdanielii","Melastomataceae","Biotic",0.181988095569691,5.84002561053693e-05,5.69056622600373
"Leandra_secunda","Melastomataceae","Biotic",0.181988095569691,5.84002561053693e-05,5.69056622600373
"Leandra_longicoma","Melastomataceae","Biotic",0.181988095569691,5.839863905867e-05,5.6905666048611
"Leandra_pastazana","Melastomataceae","Biotic",0.181988095569691,5.84017183001901e-05,5.69056589570099
"Leandra_granatensis","Melastomataceae","Biotic",0.181988095569691,5.84017183001901e-05,5.69056589570099
"Leandra_dichotoma","Melastomataceae","Biotic",0.181988095569691,5.84023800552415e-05,5.69056574015247
"Leandra_reversa","Melastomataceae","Biotic",0.181988095569691,5.84023800552415e-05,5.69056574015247
"Ossaea_quadrisulca","Melastomataceae","Biotic",0.181988095569691,5.838430549455e-05,5.69056978983648
"Leandra_agrestis","Melastomataceae","Biotic",0.181988095569691,5.83955367138892e-05,5.69056720643614
"Leandra_divaricata","Melastomataceae","Biotic",0.181988095569691,5.83961489531212e-05,5.69056706025507
"Leandra_rhamnifolia","Melastomataceae","Biotic",0.181988095569691,5.83961489531212e-05,5.69056706025507
"Ossaea_coarctiflora","Melastomataceae","Biotic",0.181988095569691,5.83933080232697e-05,5.69056774431876
"Leandra_secundiflora","Melastomataceae","Biotic",0.181988095569691,5.83948930792078e-05,5.69056737234424
"Leandra_mexicana","Melastomataceae","Biotic",0.181988095569691,5.83948930792078e-05,5.69056737234424
"Tococa_nitens","Melastomataceae","Biotic",0.181988095569691,5.83660536564615e-05,5.69057418476491
"Tococa_rotundifolia","Melastomataceae","Biotic",0.181988095569691,5.83663518295341e-05,5.69057412071212
"Tococa_bolivarensis","Melastomataceae","Biotic",0.181988095569691,5.8370039773574e-05,5.69057331708756
"Tococa_raggiana","Melastomataceae","Biotic",0.181988095569691,5.83719729023402e-05,5.69057288827475
"Tococa_macrophysca","Melastomataceae","Biotic",0.181988095569691,5.83753641039464e-05,5.69057211827798
"Tococa_aristata","Melastomataceae","Biotic",0.181988095569691,5.83753641039464e-05,5.69057211827798
"Tococa_guianensis","Melastomataceae","Biotic",0.181988095569691,5.83785612480427e-05,5.69057143899096
"Tococa_stellata","Melastomataceae","Biotic",0.181988095569691,5.83839609228283e-05,5.69057019387479
"Tococa_bullifera","Melastomataceae","Biotic",0.181988095569691,5.83880002261041e-05,5.6905692328386
"Tococa_quadrialata","Melastomataceae","Biotic",0.181988095569691,5.83885119355126e-05,5.69056910887957
"Tococa_gonoptera","Melastomataceae","Biotic",0.181988095569691,5.83885119355126e-05,5.69056910887957
"Tococa_macrosperma","Melastomataceae","Biotic",0.181988095569691,5.83722086892082e-05,5.6905728667173
"Tococa_capitata","Melastomataceae","Biotic",0.181988095569691,5.83912691977212e-05,5.69056849726077
"Tococa_caudata","Melastomataceae","Biotic",0.181988095569691,5.83912691977212e-05,5.69056849726077
"Tococa_coronata","Melastomataceae","Biotic",0.181988095569691,5.83938005946012e-05,5.69056789617095
"Tococa_cordata","Melastomataceae","Biotic",0.181988095569691,5.83939605809893e-05,5.69056785783839
"Tococa_subciliata","Melastomataceae","Biotic",0.181988095569691,5.83939605809893e-05,5.69056785783839
"Miconia_crocea","Melastomataceae","Biotic",0.181988095569691,5.84624978820309e-05,5.69056269147033
"Miconia_incerta","Melastomataceae","Biotic",0.181988095569691,5.84626346095182e-05,5.69056265605073
"Miconia_asclepiadea","Melastomataceae","Biotic",0.181988095569691,5.84626346095182e-05,5.69056265605073
"Miconia_cocoensis","Melastomataceae","Biotic",0.181988095569691,5.85025188495972e-05,5.69055467784631
"Miconia_urticoides","Melastomataceae","Biotic",0.181988095569691,5.85025188495972e-05,5.69055467784631
"Miconia_erosa","Melastomataceae","Biotic",0.181988095569691,5.85034694856715e-05,5.69055444406896
"Miconia_javorkaeana","Melastomataceae","Biotic",0.181988095569691,5.85048891417806e-05,5.69055407941427
"Miconia_benthamiana","Melastomataceae","Biotic",0.181988095569691,5.85048891417806e-05,5.69055407941427
"Tococa_symphyandra","Melastomataceae","Biotic",0.181988095569691,5.85169126816568e-05,5.69055284388697
"Miconia_clypeata","Melastomataceae","Biotic",0.181988095569691,5.85169126816568e-05,5.69055284388697
"Leandra_nervosa","Melastomataceae","Biotic",0.181988095569691,5.85255023038168e-05,5.69055094974693
"Miconia_papillosa","Melastomataceae","Biotic",0.181988095569691,5.85255685005519e-05,5.69055093261479
"Leandra_melanodesma","Melastomataceae","Biotic",0.181988095569691,5.85279155079424e-05,5.69055031978305
"Leandra_subseriata","Melastomataceae","Biotic",0.181988095569691,5.85279155079424e-05,5.69055031978305
"Miconia_andreana","Melastomataceae","Biotic",0.181988095569691,5.85284919053541e-05,5.69055017949923
"Miconia_dapsiliflora","Melastomataceae","Biotic",0.181988095569691,5.85284919053541e-05,5.69055017949923
"Miconia_pustulata","Melastomataceae","Biotic",0.181988095569691,5.85300063088295e-05,5.69054979035312
"Miconia_aspergillaris","Melastomataceae","Biotic",0.181988095569691,5.85315191254946e-05,5.69054939700743
"Miconia_denticulata","Melastomataceae","Biotic",0.181988095569691,5.85315191254946e-05,5.69054939700743
"Killipia_pedunculata","Melastomataceae","Biotic",0.181988095569691,5.85276516333257e-05,5.69055056404118
"Miconia_punctibullata","Melastomataceae","Biotic",0.181988095569691,5.85293949751854e-05,5.69055010897565
"Killipia_rotundifolia","Melastomataceae","Biotic",0.181988095569691,5.85293949751854e-05,5.69055010897565
"Miconia_corymbiformis","Melastomataceae","Biotic",0.181988095569691,5.85415973718733e-05,5.69054763549072
"Miconia_gonioclada","Melastomataceae","Biotic",0.181988095569691,5.85415973718733e-05,5.69054763549072
"Miconia_arboricola","Melastomataceae","Biotic",0.181988095569691,5.85425612399209e-05,5.69054739552783
"Miconia_pseudoradula","Melastomataceae","Biotic",0.181988095569691,5.85439785317695e-05,5.69054702758294
"Miconia_multiplinervia","Melastomataceae","Biotic",0.181988095569691,5.85439785317695e-05,5.69054702758294
"Miconia_quadrialata","Melastomataceae","Biotic",0.181988095569691,5.85810245070689e-05,5.69053888040522
"Miconia_biacuta","Melastomataceae","Biotic",0.181988095569691,5.85810245070689e-05,5.69053888040522
"Miconia_pseudorigida","Melastomataceae","Biotic",0.181988095569691,5.85842493189436e-05,5.69053818889497
"Miconia_rigida","Melastomataceae","Biotic",0.181988095569691,5.85850069577737e-05,5.69053801804304
"Miconia_nystroemii","Melastomataceae","Biotic",0.181988095569691,5.85855234440958e-05,5.6905379011831
"Miconia_alternifolia","Melastomataceae","Biotic",0.181988095569691,5.85858619254907e-05,5.69053782431329
"Miconia_stenobotrys","Melastomataceae","Biotic",0.181988095569691,5.85899150765657e-05,5.69053687505962
"Miconia_turquinensis","Melastomataceae","Biotic",0.181988095569691,5.85912852443142e-05,5.69053652535063
"Miconia_skeaniana","Melastomataceae","Biotic",0.181988095569691,5.85912852443142e-05,5.69053652535063
"Miconia_rubricans","Melastomataceae","Biotic",0.181988095569691,5.85913235962767e-05,5.69053651593218
"Miconia_smithii","Melastomataceae","Biotic",0.181988095569691,5.85916503332391e-05,5.69053643169275
"Miconia_biappendiculata","Melastomataceae","Biotic",0.181988095569691,5.85916503332391e-05,5.69053643169275
"Miconia_pteroclada","Melastomataceae","Biotic",0.181988095569691,5.85893595388714e-05,5.69053702481322
"Miconia_selleana","Melastomataceae","Biotic",0.181988095569691,5.85916343245734e-05,5.69053645459164
"Miconia_ferruginea","Melastomataceae","Biotic",0.181988095569691,5.85919708275575e-05,5.6905363682347
"Miconia_calycina","Melastomataceae","Biotic",0.181988095569691,5.85920869822821e-05,5.6905363383094
"Miconia_cubensis","Melastomataceae","Biotic",0.181988095569691,5.85920869822821e-05,5.6905363383094
"Miconia_howardiana","Melastomataceae","Biotic",0.181988095569691,5.85901031900987e-05,5.69053685034182
"Miconia_foveolata","Melastomataceae","Biotic",0.181988095569691,5.8596079643919e-05,5.69053542675751
"Miconia_sphagnicola","Melastomataceae","Biotic",0.181988095569691,5.85971173804956e-05,5.69053517842128
"Miconia_xenotricha","Melastomataceae","Biotic",0.181988095569691,5.85977018922528e-05,5.6905350365573
"Miconia_pycnoneura","Melastomataceae","Biotic",0.181988095569691,5.85986081623399e-05,5.69053480558786
"Miconia_rufa","Melastomataceae","Biotic",0.181988095569691,5.85995196074778e-05,5.69053457219305
"Miconia_septentrionalis","Melastomataceae","Biotic",0.181988095569691,5.85995196074778e-05,5.69053457219305
