"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"83","Brachyloma scortechinii","5","5.683747","0.002439","0.001091","4.3e-05","Brachyloma scortechinii","5","7.268132","0.150352","0.067239","0.03984","Brachyloma scortechinii","5","7.464471","0.042653","0.019075","0.008685","Brachyloma scortechinii","5","9.04535","0.096229","0.043035","0.032273"
"84","Lysinema ciliatum","38","5.672498","0.004728","0.000767","6e-06","Lysinema ciliatum","38","6.15143","0.440658","0.071484","0.005242","Lysinema ciliatum","39","7.594022","0.130481","0.020894","0.001113","Lysinema ciliatum","39","7.73519","0.521772","0.08355","0.004138"
"85","Epacris lanuginosa","18","5.654615","0.005837","0.001376","1.2e-05","Epacris lanuginosa","18","6.899056","0.320889","0.075634","0.011067","Epacris lanuginosa","18","7.06631","0.095717","0.022561","0.002413","Epacris lanuginosa","18","9.094757","0.441809","0.104135","0.008965"
"86","Acrothamnus melaleucoides","5","5.664577","0.005861","0.002621","4.3e-05","Acrothamnus melaleucoides","5","6.889337","0.263979","0.118055","0.03984","Acrothamnus melaleucoides","5","7.35453","0.065785","0.02942","0.008685","Acrothamnus melaleucoides","5","8.745912","0.209603","0.093737","0.032273"
"87","Richea scoparia","7","5.637244","0.006219","0.002351","3.1e-05","Richea scoparia","7","7.438428","0.453418","0.171376","0.028457","Richea scoparia","7","6.835338","0.065346","0.024698","0.006204","Richea scoparia","7","9.900387","0.288235","0.108943","0.023052"
"88","Sphenotoma gracilis","6","5.667694","0.0013","0.000531","3.6e-05","Sphenotoma gracilis","6","6.889113","0.128693","0.052539","0.0332","Sphenotoma gracilis","6","7.38702","0.09925","0.040519","0.007238","Sphenotoma gracilis","6","8.760196","0.174269","0.071145","0.026894"
"89","Astroloma xerophyllum","6","5.678862","0.002011","0.000821","3.6e-05","Astroloma xerophyllum","6","6.380249","0.146405","0.05977","0.0332","Astroloma xerophyllum","6","7.709072","0.030358","0.012394","0.007238","Astroloma xerophyllum","6","7.849255","0.17163","0.070068","0.026894"
"90","Styphelia exarrhena","8","5.664304","0.001668","0.00059","2.7e-05","Styphelia exarrhena","8","6.306914","0.179963","0.063627","0.0249","Styphelia exarrhena","7","7.411957","0.070505","0.026648","0.006204","Styphelia exarrhena","7","8.129612","0.284783","0.107638","0.023052"
"91","Astroloma ciliatum","9","5.670731","0.005173","0.001724","2.4e-05","Astroloma ciliatum","9","6.651121","0.322906","0.107635","0.022133","Astroloma ciliatum","9","7.557024","0.127031","0.042344","0.004825","Astroloma ciliatum","9","8.273271","0.415535","0.138512","0.017929"
"92","Dracophyllum secundum","6","5.660868","0.003994","0.001631","3.6e-05","Dracophyllum secundum","6","7.12375","0.258802","0.105655","0.0332","Dracophyllum secundum","6","7.259084","0.030346","0.012389","0.007238","Dracophyllum secundum","6","8.974498","0.290704","0.118679","0.026894"
"93","Richea victoriana","1","5.641375",NA,NA,"0.000217","Richea victoriana","1","7.269617",NA,NA,"0.1992","Richea victoriana","1","7.005789",NA,NA,"0.043426","Richea victoriana","1","9.454932",NA,NA,"0.161363"
"94","Cyathodes glauca","8","5.643074","0.008161","0.002885","2.7e-05","Cyathodes glauca","8","6.927162","0.298046","0.105375","0.0249","Cyathodes glauca","8","6.929986","0.09992","0.035327","0.005428","Cyathodes glauca","8","9.335485","0.380315","0.134462","0.02017"
"95","Leucopogon distans","5","5.666875","0.00172","0.000769","4.3e-05","Leucopogon distans","5","6.948256","0.167425","0.074875","0.03984","Leucopogon distans","5","7.357188","0.096464","0.04314","0.008685","Leucopogon distans","5","8.752588","0.141765","0.063399","0.032273"
"96","Conostephium preissii","7","5.677462","0.001591","0.000601","3.1e-05","Conostephium preissii","7","6.366488","0.323048","0.122101","0.028457","Conostephium preissii","7","7.694764","0.054267","0.020511","0.006204","Conostephium preissii","7","7.892956","0.3589","0.135651","0.023052"
"97","Richea procera","5","5.640159","0.004621","0.002067","4.3e-05","Richea procera","5","7.089869","0.483719","0.216326","0.03984","Richea procera","5","6.86937","0.070041","0.031323","0.008685","Richea procera","5","9.618718","0.427339","0.191112","0.032273"
"98","Archeria comberi","1","5.638888",NA,NA,"0.000217","Archeria comberi","1","7.896553",NA,NA,"0.1992","Archeria comberi","1","6.846943",NA,NA,"0.043426","Archeria comberi","1","10.145217",NA,NA,"0.161363"
