"","species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp","species.1","n_prec","mean_prec","sd_prec","se_prec","within_sp_var_prec","species.2","n_pet","mean_pet","sd_pet","se_pet","within_sp_var_pet","species.3","n_aridity","mean_aridity","sd_aridity","se_aridity","within_sp_var_aridity"
"58","Osbeckia stellata","74","5.674163","0.013071","0.001519","1e-06","Osbeckia stellata","74","7.097855","0.36557","0.042497","0.001603","Osbeckia stellata","74","7.139246","0.1393","0.016193","0.000166","Osbeckia stellata","74","9.266596","0.285485","0.033187","0.001578"
"59","Miconia longispicata","55","5.696974","0.00364","0.000491","1e-06","Miconia longispicata","55","7.819001","0.255399","0.034438","0.002156","Miconia longispicata","55","7.231466","0.082091","0.011069","0.000223","Miconia longispicata","55","9.773511","0.25976","0.035026","0.002123"
"60","Marcetia macrophylla","1","5.690191",NA,NA,"7.5e-05","Marcetia macrophylla","1","6.902743",NA,NA,"0.118594","Marcetia macrophylla","1","7.345365",NA,NA,"0.012284","Marcetia macrophylla","1","8.728426",NA,NA,"0.116788"
"61","Tococa aristata","10","5.687688","0.008503","0.002689","7e-06","Tococa aristata","10","7.814856","0.125106","0.039562","0.011859","Tococa aristata","10","7.329367","0.070048","0.022151","0.001228","Tococa aristata","10","9.544777","0.098259","0.031072","0.011679"
"62","Tristemma hirtum","34","5.696048","0.006172","0.001058","2e-06","Tristemma hirtum","34","7.653035","0.333914","0.057266","0.003488","Tristemma hirtum","33","7.205647","0.189818","0.033043","0.000372","Tristemma hirtum","33","9.589975","0.443237","0.077158","0.003539"
"63","Miconia appendiculata","21","5.690696","0.010982","0.002396","4e-06","Miconia appendiculata","21","7.989723","0.332837","0.072631","0.005647","Miconia appendiculata","21","7.303167","0.131431","0.028681","0.000585","Miconia appendiculata","21","9.802064","0.323733","0.070644","0.005561"
"64","Memecylon germainii","2","5.693889","0.006665","0.004713","3.7e-05","Memecylon germainii","2","7.328956","0.043149","0.030511","0.059297","Memecylon germainii","2","7.049501","0.087697","0.062011","0.006142","Memecylon germainii","2","9.613615","0.168076","0.118848","0.058394"
"65","Bellucia aequiloba","18","5.693799","0.007509","0.00177","4e-06","Bellucia aequiloba","18","7.659029","0.427772","0.100827","0.006589","Bellucia aequiloba","18","7.206938","0.091029","0.021456","0.000682","Bellucia aequiloba","18","9.675269","0.431249","0.101646","0.006488"
"66","Pternandra multiflora","7","5.701226","0.003567","0.001348","1.1e-05","Pternandra multiflora","7","8.190255","0.18945","0.071605","0.016942","Pternandra multiflora","7","7.333719","0.076755","0.029011","0.001755","Pternandra multiflora","7","10.022845","0.124197","0.046942","0.016684"
"67","Astronia lagunensis","1","5.689176",NA,NA,"7.5e-05","Astronia lagunensis","1","7.932362",NA,NA,"0.118594","Astronia lagunensis","1","7.221836",NA,NA,"0.012284","Astronia lagunensis","1","9.840068",NA,NA,"0.116788"
"68","Clidemia sericea","157","5.694791","0.008211","0.000655","0","Clidemia sericea","157","7.698087","0.376872","0.030078","0.000755","Clidemia sericea","156","7.369303","0.113732","0.009106","7.9e-05","Clidemia sericea","156","9.524389","0.416144","0.033318","0.000749"
"69","Memecylon candidum","6","5.698825","0.001352","0.000552","1.2e-05","Memecylon candidum","6","7.889928","0.167345","0.068318","0.019766","Memecylon candidum","6","7.159517","0.019876","0.008114","0.002047","Memecylon candidum","6","9.919919","0.089153","0.036397","0.019465"
"70","Dissochaeta annulata","35","5.695051","0.011235","0.001899","2e-06","Dissochaeta annulata","35","7.975455","0.267273","0.045177","0.003388","Dissochaeta annulata","33","7.291062","0.138531","0.024115","0.000372","Dissochaeta annulata","33","9.848491","0.254375","0.044281","0.003539"
"71","Astronia cumingiana","13","5.69292","0.010148","0.002815","6e-06","Astronia cumingiana","13","7.88843","0.237119","0.065765","0.009123","Astronia cumingiana","13","7.266942","0.080198","0.022243","0.000945","Astronia cumingiana","13","9.764593","0.256324","0.071091","0.008984"
"72","Pleroma tibouchinum","109","5.699083","0.004785","0.000458","1e-06","Pleroma tibouchinum","109","7.71678","0.275245","0.026364","0.001088","Pleroma tibouchinum","109","7.325483","0.0985","0.009435","0.000113","Pleroma tibouchinum","109","9.575131","0.245225","0.023488","0.001071"
"73","Miconia lepidota","122","5.694782","0.007288","0.00066","1e-06","Miconia lepidota","122","7.648671","0.347529","0.031464","0.000972","Miconia lepidota","121","7.263855","0.093182","0.008471","0.000102","Miconia lepidota","121","9.566953","0.333078","0.03028","0.000965"
"74","Memecylon lilacinum","42","5.699874","0.005","0.000772","2e-06","Memecylon lilacinum","42","7.840249","0.31454","0.048535","0.002824","Memecylon lilacinum","43","7.36262","0.075767","0.011554","0.000286","Memecylon lilacinum","43","9.617174","0.384413","0.058622","0.002716"
"75","Amphiblemma cymosum","8","5.692795","0.004922","0.00174","9e-06","Amphiblemma cymosum","8","7.59284","0.320176","0.113199","0.014824","Amphiblemma cymosum","8","7.447313","0.095134","0.033635","0.001536","Amphiblemma cymosum","8","9.379691","0.25675","0.090775","0.014599"
"76","Tristemma akeassii","13","5.698027","0.004259","0.001181","6e-06","Tristemma akeassii","13","7.569442","0.374902","0.103979","0.009123","Tristemma akeassii","13","7.338431","0.034961","0.009696","0.000945","Tristemma akeassii","13","9.438838","0.333341","0.092452","0.008984"
"77","Blakea quadriflora","12","5.673036","0.013747","0.003968","6e-06","Blakea quadriflora","12","7.431179","0.430592","0.124301","0.009883","Blakea quadriflora","12","7.033262","0.106485","0.03074","0.001024","Blakea quadriflora","12","9.531497","0.464936","0.134215","0.009732"
"78","Graffenrieda weddellii","56","5.692055","0.00841","0.001124","1e-06","Graffenrieda weddellii","56","7.62492","0.357437","0.047765","0.002118","Graffenrieda weddellii","56","7.295175","0.090928","0.012151","0.000219","Graffenrieda weddellii","56","9.516283","0.378957","0.05064","0.002086"
"79","Dissotis grandiflora","9","5.699029","0.006786","0.002262","8e-06","Dissotis grandiflora","9","7.163344","0.241052","0.080351","0.013177","Dissotis grandiflora","9","7.555091","0.15909","0.05303","0.001365","Dissotis grandiflora","9","8.830302","0.383723","0.127908","0.012976"
"80","Memecylon virescens","2","5.699272","0","0","3.7e-05","Memecylon virescens","2","7.974216","0.024096","0.017038","0.059297","Memecylon virescens","2","7.153032","0.008853","0.00626","0.006142","Memecylon virescens","2","9.932097","0.041945","0.02966","0.058394"
"81","Miconia magdalenae","13","5.698182","0.004247","0.001178","6e-06","Miconia magdalenae","13","7.794087","0.25368","0.070358","0.009123","Miconia magdalenae","13","7.365077","0.032502","0.009014","0.000945","Miconia magdalenae","13","9.665705","0.224788","0.062345","0.008984"
"82","Memecylon umbellatum","8","5.700047","0.006856","0.002424","9e-06","Memecylon umbellatum","8","7.400008","0.224525","0.079382","0.014824","Memecylon umbellatum","8","7.488399","0.078934","0.027907","0.001536","Memecylon umbellatum","8","8.961331","0.283787","0.100334","0.014599"
"83","Clidemia alternifolia","6","5.694909","0.001663","0.000679","1.2e-05","Clidemia alternifolia","6","8.097355","0.08345","0.034068","0.019766","Clidemia alternifolia","6","7.240718","0.046104","0.018822","0.002047","Clidemia alternifolia","6","10.045746","0.104327","0.042591","0.019465"
"84","Clidemia dimorphica","36","5.693406","0.006056","0.001009","2e-06","Clidemia dimorphica","36","7.848408","0.375195","0.062532","0.003294","Clidemia dimorphica","36","7.13532","0.075034","0.012506","0.000341","Clidemia dimorphica","36","9.958471","0.334707","0.055784","0.003244"
"85","Miconia lappacea","11","5.696665","0.005957","0.001796","7e-06","Miconia lappacea","11","7.915709","0.253152","0.076328","0.010781","Miconia lappacea","11","7.327298","0.047756","0.014399","0.001117","Miconia lappacea","11","9.7348","0.16877","0.050886","0.010617"
"86","Dolichoura spiritusanctensis","1","5.68375",NA,NA,"7.5e-05","Dolichoura spiritusanctensis","1","7.44132",NA,NA,"0.118594","Dolichoura spiritusanctensis","1","7.126087",NA,NA,"0.012284","Dolichoura spiritusanctensis","1","9.266721",NA,NA,"0.116788"
"87","Phyllagathis gymnantha","13","5.692976","0.009716","0.002695","6e-06","Phyllagathis gymnantha","13","8.110806","0.241343","0.066937","0.009123","Phyllagathis gymnantha","13","7.271504","0.052637","0.014599","0.000945","Phyllagathis gymnantha","13","10.001446","0.191259","0.053046","0.008984"
"88","Brachyotum microdon","13","5.652718","0.015251","0.00423","6e-06","Brachyotum microdon","13","6.979419","0.442173","0.122637","0.009123","Brachyotum microdon","13","7.302427","0.103617","0.028738","0.000945","Brachyotum microdon","13","8.620326","0.225674","0.062591","0.008984"
"89","Pterogastra minor","6","5.692506","0.010626","0.004338","1.2e-05","Pterogastra minor","6","7.925251","0.169162","0.06906","0.019766","Pterogastra minor","6","7.325258","0.066332","0.02708","0.002047","Pterogastra minor","6","9.657959","0.131225","0.053572","0.019465"
"90","Miconia gracilis","46","5.689027","0.011833","0.001745","2e-06","Miconia gracilis","46","8.020888","0.344817","0.05084","0.002578","Miconia gracilis","46","7.310204","0.125957","0.018571","0.000267","Miconia gracilis","46","9.849964","0.366665","0.054062","0.002539"
"91","Memecylon englerianum","8","5.693335","0.006517","0.002304","9e-06","Memecylon englerianum","8","7.664465","0.470703","0.166419","0.014824","Memecylon englerianum","8","7.242776","0.133192","0.04709","0.001536","Memecylon englerianum","8","9.583488","0.394139","0.139349","0.014599"
"92","Axinaea macrophylla","30","5.654202","0.015046","0.002747","2e-06","Axinaea macrophylla","30","7.336445","0.357542","0.065278","0.003953","Axinaea macrophylla","30","7.057414","0.12772","0.023318","0.000409","Axinaea macrophylla","30","9.458537","0.36944","0.06745","0.003893"
"93","Miconia alata","96","5.698212","0.004374","0.000446","1e-06","Miconia alata","96","7.661132","0.291442","0.029745","0.001235","Miconia alata","97","7.31144","0.094119","0.009556","0.000127","Miconia alata","97","9.569658","0.263264","0.02673","0.001204"
"94","Miconia cuspidata","66","5.696328","0.006045","0.000744","1e-06","Miconia cuspidata","66","7.552764","0.341496","0.042035","0.001797","Miconia cuspidata","68","7.286079","0.099722","0.012093","0.000181","Miconia cuspidata","68","9.443424","0.385579","0.046758","0.001717"
"95","Astronia ferruginea","4","5.698508","0.005419","0.00271","1.9e-05","Astronia ferruginea","4","7.62758","0.340724","0.170362","0.029649","Astronia ferruginea","4","7.321189","0.04703","0.023515","0.003071","Astronia ferruginea","4","9.599864","0.173095","0.086548","0.029197"
"96","Medinilla cumingii","5","5.672535","0.012877","0.005759","1.5e-05","Medinilla cumingii","5","7.745869","0.520739","0.232882","0.023719","Medinilla cumingii","5","7.194389","0.176214","0.078805","0.002457","Medinilla cumingii","5","9.720175","0.523442","0.23409","0.023358"
"97","Driessenia glanduligera","9","5.68923","0.011572","0.003857","8e-06","Driessenia glanduligera","9","8.240187","0.15584","0.051947","0.013177","Driessenia glanduligera","9","7.250901","0.043883","0.014628","0.001365","Driessenia glanduligera","9","10.049332","0.177342","0.059114","0.012976"
"98","Medinilla sessiliflora","6","5.697863","0.00563","0.002298","1.2e-05","Medinilla sessiliflora","6","8.235301","0.152333","0.06219","0.019766","Medinilla sessiliflora","6","7.295492","0.037385","0.015262","0.002047","Medinilla sessiliflora","6","10.107441","0.109031","0.044512","0.019465"
"99","Sonerila beccariana","19","5.687533","0.016603","0.003809","4e-06","Sonerila beccariana","19","8.194428","0.292563","0.067119","0.006242","Sonerila beccariana","19","7.207455","0.274244","0.062916","0.000647","Sonerila beccariana","19","10.017873","0.313892","0.072012","0.006147"
